casa,metrica,valor
ferrones,prestigio_sobre_mediana_mil,93
ferrones,prestigio_entrando_cada_seis,-33
hortelanos,aperos,0
hortelanos,capitulo_caminos,0
hortelanos,capitulo_comercio,0
hortelanos,capitulo_exploracion,213
hortelanos,capitulo_ganaderia,0
hortelanos,capitulo_hitos,282
hortelanos,capitulo_industria,0
hortelanos,capitulo_obras,160
hortelanos,capitulo_poblacion,224
hortelanos,capitulo_territorio,101
hortelanos,cargasArbitradas,0
hortelanos,comarcas,13
hortelanos,comarcasIncorporadas,12
hortelanos,edificio_aserradero,1676
hortelanos,edificio_granja,16910
hortelanos,edificio_huerta,17574
hortelanos,indicioDeArbitraje,0
hortelanos,ingresosDeFeria,0
hortelanos,jornadas,210
hortelanos,lanaEsquilada,0
hortelanos,maravedis,3259
hortelanos,margenDeNegocios,0
hortelanos,margenNetoDeNegocios,0
hortelanos,negocios,0
hortelanos,negociosRentables,0
hortelanos,obrasMayores,1
hortelanos,obrasTerminadas,56
hortelanos,ordenesCanceladas,5
hortelanos,ordenesDeAlta,1030
hortelanos,ordenesEnEspera,216
hortelanos,ordenesPropuestas,1012
hortelanos,ordenesTerminadas,1021
hortelanos,partidasSinObraMayor,0
hortelanos,poblacion,1120
hortelanos,prestigio,980
hortelanos,primeraObraMayor,113
hortelanos,primicias,3
hortelanos,producido_hierro,0
hortelanos,producido_lana,0
hortelanos,producido_madera,1676
hortelanos,producido_maravedis,20136
hortelanos,producido_pan,34484
hortelanos,producido_piedra,0
hortelanos,producido_sal,0
hortelanos,pueblasFundadas,0
hortelanos,puesto,1
hortelanos,trashumancias,0
hortelanos,turnosConEscasez,0
hortelanos,turnosDeDecision,200
hortelanos,turnosSinOrdenes,3
hortelanos,vendido_hierro,0
hortelanos,vendido_lana,0
hortelanos,vendido_madera,0
hortelanos,vendido_maravedis,0
hortelanos,vendido_pan,716
hortelanos,vendido_piedra,0
hortelanos,vendido_sal,0
hortelanos,ventasFuera,0
hortelanos,ventasSinCompra,518
hortelanos,volumenComerciado,1876
hortelanos,volumenEnRuta,0
hortelanos,prestigio_sobre_mediana_mil,3043
hortelanos,prestigio_entrando_cada_seis,880
mercaderes,aperos,0
mercaderes,capitulo_caminos,0
mercaderes,capitulo_comercio,0
mercaderes,capitulo_exploracion,117
mercaderes,capitulo_ganaderia,0
mercaderes,capitulo_hitos,25
mercaderes,capitulo_industria,0
mercaderes,capitulo_obras,0
mercaderes,capitulo_poblacion,18
mercaderes,capitulo_territorio,8
mercaderes,cargasArbitradas,31
mercaderes,comarcas,1
mercaderes,comarcasIncorporadas,0
mercaderes,edificio_granja,4385
mercaderes,indicioDeArbitraje,0
mercaderes,ingresosDeFeria,0
mercaderes,jornadas,169
mercaderes,lanaEsquilada,0
mercaderes,maravedis,101
mercaderes,margenDeNegocios,144
mercaderes,margenNetoDeNegocios,74
mercaderes,negocios,4
mercaderes,negociosRentables,4
mercaderes,obrasMayores,0
mercaderes,obrasTerminadas,4
mercaderes,ordenesCanceladas,0
mercaderes,ordenesDeAlta,733
mercaderes,ordenesEnEspera,71
mercaderes,ordenesPropuestas,715
mercaderes,ordenesTerminadas,730
mercaderes,partidasSinObraMayor,3
mercaderes,poblacion,90
mercaderes,prestigio,164
mercaderes,primeraObraMayor,0
mercaderes,primicias,0
mercaderes,producido_hierro,0
mercaderes,producido_lana,0
mercaderes,producido_madera,0
mercaderes,producido_maravedis,4979
mercaderes,producido_pan,4385
mercaderes,producido_piedra,0
mercaderes,producido_sal,0
mercaderes,pueblasFundadas,0
mercaderes,puesto,6
mercaderes,trashumancias,0
mercaderes,turnosConEscasez,4
mercaderes,turnosDeDecision,200
mercaderes,turnosSinOrdenes,0
mercaderes,vendido_hierro,0
mercaderes,vendido_lana,0
mercaderes,vendido_madera,0
mercaderes,vendido_maravedis,0
mercaderes,vendido_pan,0
mercaderes,vendido_piedra,0
mercaderes,vendido_sal,31
mercaderes,ventasFuera,0
mercaderes,ventasSinCompra,0
mercaderes,volumenComerciado,1237
mercaderes,volumenEnRuta,70
mercaderes,prestigio_sobre_mediana_mil,509
mercaderes,prestigio_entrando_cada_seis,138
mesta,aperos,0
mesta,capitulo_caminos,0
mesta,capitulo_comercio,0
mesta,capitulo_exploracion,37
mesta,capitulo_ganaderia,50
mesta,capitulo_hitos,20
mesta,capitulo_industria,0
mesta,capitulo_obras,0
mesta,capitulo_poblacion,7
mesta,capitulo_territorio,8
mesta,cargasArbitradas,0
mesta,comarcas,1
mesta,comarcasIncorporadas,0
mesta,edificio_aserradero,1264
mesta,edificio_granja,1579
mesta,indicioDeArbitraje,0
mesta,ingresosDeFeria,0
mesta,jornadas,44
mesta,lanaEsquilada,12
mesta,maravedis,143
mesta,margenDeNegocios,0
mesta,margenNetoDeNegocios,0
mesta,negocios,0
mesta,negociosRentables,0
mesta,obrasMayores,0
mesta,obrasTerminadas,2
mesta,ordenesCanceladas,0
mesta,ordenesDeAlta,799
mesta,ordenesEnEspera,21
mesta,ordenesPropuestas,781
mesta,ordenesTerminadas,799
mesta,partidasSinObraMayor,3
mesta,poblacion,38
mesta,prestigio,108
mesta,primeraObraMayor,0
mesta,primicias,0
mesta,producido_hierro,0
mesta,producido_lana,0
mesta,producido_madera,1264
mesta,producido_maravedis,2697
mesta,producido_pan,1579
mesta,producido_piedra,0
mesta,producido_sal,0
mesta,pueblasFundadas,0
mesta,puesto,7
mesta,trashumancias,1
mesta,turnosConEscasez,15
mesta,turnosDeDecision,200
mesta,turnosSinOrdenes,8
mesta,vendido_hierro,0
mesta,vendido_lana,10
mesta,vendido_madera,900
mesta,vendido_maravedis,0
mesta,vendido_pan,0
mesta,vendido_piedra,0
mesta,vendido_sal,0
mesta,ventasFuera,0
mesta,ventasSinCompra,910
mesta,volumenComerciado,1790
mesta,volumenEnRuta,0
mesta,prestigio_sobre_mediana_mil,335
mesta,prestigio_entrando_cada_seis,33
monjes,aperos,0
monjes,capitulo_caminos,0
monjes,capitulo_comercio,0
monjes,capitulo_exploracion,173
monjes,capitulo_ganaderia,0
monjes,capitulo_hitos,168
monjes,capitulo_industria,0
monjes,capitulo_obras,80
monjes,capitulo_poblacion,224
monjes,capitulo_territorio,93
monjes,cargasArbitradas,0
monjes,comarcas,12
monjes,comarcasIncorporadas,5
monjes,edificio_aserradero,3695
monjes,edificio_granja,26045
monjes,edificio_huerta,4668
monjes,indicioDeArbitraje,0
monjes,ingresosDeFeria,0
monjes,jornadas,211
monjes,lanaEsquilada,0
monjes,maravedis,955
monjes,margenDeNegocios,0
monjes,margenNetoDeNegocios,0
monjes,negocios,0
monjes,negociosRentables,0
monjes,obrasMayores,1
monjes,obrasTerminadas,54
monjes,ordenesCanceladas,4
monjes,ordenesDeAlta,972
monjes,ordenesEnEspera,206
monjes,ordenesPropuestas,954
monjes,ordenesTerminadas,967
monjes,partidasSinObraMayor,1
monjes,poblacion,1123
monjes,prestigio,739
monjes,primeraObraMayor,138
monjes,primicias,1
monjes,producido_hierro,0
monjes,producido_lana,0
monjes,producido_madera,3695
monjes,producido_maravedis,13481
monjes,producido_pan,30713
monjes,producido_piedra,0
monjes,producido_sal,0
monjes,pueblasFundadas,5
monjes,puesto,2
monjes,trashumancias,0
monjes,turnosConEscasez,0
monjes,turnosDeDecision,200
monjes,turnosSinOrdenes,4
monjes,vendido_hierro,0
monjes,vendido_lana,0
monjes,vendido_madera,0
monjes,vendido_maravedis,0
monjes,vendido_pan,827
monjes,vendido_piedra,0
monjes,vendido_sal,0
monjes,ventasFuera,0
monjes,ventasSinCompra,568
monjes,volumenComerciado,1814
monjes,volumenEnRuta,0
monjes,prestigio_sobre_mediana_mil,2295
monjes,prestigio_entrando_cada_seis,589
salineros,aperos,0
salineros,capitulo_caminos,0
salineros,capitulo_comercio,0
salineros,capitulo_exploracion,149
salineros,capitulo_ganaderia,0
salineros,capitulo_hitos,92
salineros,capitulo_industria,0
salineros,capitulo_obras,0
salineros,capitulo_poblacion,158
salineros,capitulo_territorio,80
salineros,cargasArbitradas,0
salineros,comarcas,10
salineros,comarcasIncorporadas,9
salineros,edificio_granja,13598
salineros,edificio_huerta,3593
salineros,edificio_lonja,2498
salineros,edificio_salina,2027
salineros,indicioDeArbitraje,0
salineros,ingresosDeFeria,0
salineros,jornadas,162
salineros,lanaEsquilada,0
salineros,maravedis,3962
salineros,margenDeNegocios,0
salineros,margenNetoDeNegocios,0
salineros,negocios,0
salineros,negociosRentables,0
salineros,obrasMayores,0
salineros,obrasTerminadas,32
salineros,ordenesCanceladas,5
salineros,ordenesDeAlta,988
salineros,ordenesEnEspera,150
salineros,ordenesPropuestas,970
salineros,ordenesTerminadas,974
salineros,partidasSinObraMayor,3
salineros,poblacion,790
salineros,prestigio,470
salineros,primeraObraMayor,0
salineros,primicias,0
salineros,producido_hierro,0
salineros,producido_lana,0
salineros,producido_madera,0
salineros,producido_maravedis,13035
