casa,metrica,valor
ferrones,prestigio_sobre_mediana_mil,144
ferrones,prestigio_entrando_cada_seis,-32
hortelanos,aperos,0
hortelanos,capitulo_caminos,0
hortelanos,capitulo_comercio,0
hortelanos,capitulo_exploracion,280
hortelanos,capitulo_ganaderia,0
hortelanos,capitulo_hitos,235
hortelanos,capitulo_industria,0
hortelanos,capitulo_obras,160
hortelanos,capitulo_poblacion,224
hortelanos,capitulo_territorio,104
hortelanos,cargasArbitradas,0
hortelanos,comarcas,13
hortelanos,comarcasIncorporadas,12
hortelanos,edificio_aserradero,1281
hortelanos,edificio_granja,16485
hortelanos,edificio_huerta,18222
hortelanos,indicioDeArbitraje,0
hortelanos,ingresosDeFeria,0
hortelanos,jornadas,310
hortelanos,lanaEsquilada,0
hortelanos,maravedis,3029
hortelanos,margenDeNegocios,0
hortelanos,margenNetoDeNegocios,0
hortelanos,negocios,0
hortelanos,negociosRentables,0
hortelanos,obrasMayores,1
hortelanos,obrasTerminadas,57
hortelanos,ordenesCanceladas,7
hortelanos,ordenesDeAlta,1098
hortelanos,ordenesEnEspera,270
hortelanos,ordenesPropuestas,1080
hortelanos,ordenesTerminadas,1086
hortelanos,partidasSinObraMayor,1
hortelanos,poblacion,1123
hortelanos,prestigio,1003
hortelanos,primeraObraMayor,117
hortelanos,primicias,2
hortelanos,producido_hierro,0
hortelanos,producido_lana,0
hortelanos,producido_madera,1281
hortelanos,producido_maravedis,20856
hortelanos,producido_pan,34707
hortelanos,producido_piedra,0
hortelanos,producido_sal,0
hortelanos,pueblasFundadas,0
hortelanos,puesto,1
hortelanos,trashumancias,0
hortelanos,turnosConEscasez,0
hortelanos,turnosDeDecision,200
hortelanos,turnosSinOrdenes,3
hortelanos,vendido_hierro,0
hortelanos,vendido_lana,0
hortelanos,vendido_madera,0
hortelanos,vendido_maravedis,0
hortelanos,vendido_pan,752
hortelanos,vendido_piedra,0
hortelanos,vendido_sal,0
hortelanos,ventasFuera,0
hortelanos,ventasSinCompra,491
hortelanos,volumenComerciado,1906
hortelanos,volumenEnRuta,0
hortelanos,prestigio_sobre_mediana_mil,2360
hortelanos,prestigio_entrando_cada_seis,847
mercaderes,aperos,0
mercaderes,capitulo_caminos,0
mercaderes,capitulo_comercio,0
mercaderes,capitulo_exploracion,165
mercaderes,capitulo_ganaderia,0
mercaderes,capitulo_hitos,32
mercaderes,capitulo_industria,0
mercaderes,capitulo_obras,0
mercaderes,capitulo_poblacion,19
mercaderes,capitulo_territorio,11
mercaderes,cargasArbitradas,33
mercaderes,comarcas,1
mercaderes,comarcasIncorporadas,0
mercaderes,edificio_granja,4274
mercaderes,indicioDeArbitraje,0
mercaderes,ingresosDeFeria,0
mercaderes,jornadas,281
mercaderes,lanaEsquilada,0
mercaderes,maravedis,96
mercaderes,margenDeNegocios,286
mercaderes,margenNetoDeNegocios,153
mercaderes,negocios,5
mercaderes,negociosRentables,5
mercaderes,obrasMayores,0
mercaderes,obrasTerminadas,5
mercaderes,ordenesCanceladas,0
mercaderes,ordenesDeAlta,734
mercaderes,ordenesEnEspera,102
mercaderes,ordenesPropuestas,717
mercaderes,ordenesTerminadas,731
mercaderes,partidasSinObraMayor,3
mercaderes,poblacion,97
mercaderes,prestigio,220
mercaderes,primeraObraMayor,0
mercaderes,primicias,0
mercaderes,producido_hierro,0
mercaderes,producido_lana,0
mercaderes,producido_madera,0
mercaderes,producido_maravedis,4608
mercaderes,producido_pan,4274
mercaderes,producido_piedra,0
mercaderes,producido_sal,0
mercaderes,pueblasFundadas,0
mercaderes,puesto,7
mercaderes,trashumancias,0
mercaderes,turnosConEscasez,7
mercaderes,turnosDeDecision,200
mercaderes,turnosSinOrdenes,0
mercaderes,vendido_hierro,0
mercaderes,vendido_lana,0
mercaderes,vendido_madera,0
mercaderes,vendido_maravedis,0
